Start Timing,Duration,Text,Emotion
3627677,3515,"Beautifully built. ln fact, there's a bit of a story there.",n
3631633,4232,"We were on a reconnaissance flight, when the weather duffed up.",n
3635680,2798,Yes ... of course.,n
3639160,2195,We may be able to pull this off.,n
3641767,2594,We're still flying out of here.,n
3644767,3834,Fowler's provided the answer. - l have?,s
3649007,1956,"Oh, yes. Of course l have.",n
3652194,989,How have l?,n
3653687,2639,We'll make a crate.,n
3657440,989,"Mac,",m
3658847,1592,you'll handle engineering.,n
3660847,1353,"Babs, manufacturing.",n
3662600,2116,Fowler is chief aviation adviser.,n
3665127,1274,"Bunty, eggs.",n
3666912,1194,Eggs?,s
3668407,2468,Right. Like the ones the rooster was going to lay.,n
3671287,2639,"Only roosters don't lay eggs, do they?",n
3674327,4073,"Don't they? - lt's a lady thing, apparently. Ask your mum.",n
3678910,2036,One egg per item on the list.,n
3681247,3549,First payment in advance. - Right. When do we start?,n
3696880,1558,What the dickens?,n
3701080,1672,"Oh, gnomes now!",n
3753000,3959,"Eggs from heaven! - No, from her bum.",n
3787727,1115,ldiot!,n
3789520,2309,That was close. Too close.,n
3793087,3993,"We can't stop now. Everyone, go for it.",n
3797367,989,"Go, go!",n
3801680,2036,Mac! We need the calculations quick.,n
3803887,2150,"Agnes, that has to be really secure.",n
3806629,2195,"Careful up there, Fowler!",n
3809567,3231,"Bunty, give him a hand. Well done, Babs. Keep it up!",n
3813207,2230,"No problem, dollface.",n
3858714,1194,"Ah, boy.",n
3866047,1319,Come on.,n
3869438,1069,Please!,n
3875480,1115,"Oh, no.",f
3876887,1115,He's fixed it.,j
3884320,1911,Get the chickens.,n
3886527,989,Which ones?,n
3888920,1433,All of them!,n
3897280,989,My tools!,s
3900480,1558,Thieving little buggers.,a
3903278,1638,What's the plan?,n
3908280,910,Attack!,a
3911487,1228,Nice plan.,n
3922207,1877,The chickens are revolting!,f
3924834,2560,"Finally, something we agree on.",n
3927838,989,Help!,f
3933927,1638,Under the hut!,n
3943087,2355,What have we done? - This is it.,s
3945847,1433,We're escaping!,n
3947687,989,What? Now?,s
3949553,830,Now!,n
3950447,2230,But she's not ready. - Listen!,n
3952880,3037,We either die free chickens or die trying.,n
3958807,2560,Are those the only choices? - Let's do it!,n
3961767,1115,Scramble!,n
4014040,3117,The exits are located here and here.,n
4017127,3709,"ln the likely event of an emergency, put your head between your knees ...",n
4021589,2070,... and kiss your bum goodbye.,n
4023727,1752,"Okay, Fowler. Ready for takeoff.",n
4026634,1752,Behind you all the way.,n
4030200,2992,You're supposed to be up there. You're the pilot!,s
4034273,3276,Don't be ridiculous. l can't fly this contraption.,n
4038154,2639,But back in your day ... the Royal Air Force.,n
4041317,4312,"644 Squadron, poultry division. We were the mascots.",n
4045433,2150,You mean you never flew the plane?,s
4048127,2958,"Good heavens, no. l'm a chicken.",s
4053120,4357,The Royal Air Force doesn't let chickens fly a complex aircraft!,n
4057432,3151,"We're all gonna die. - Fowler, you have to fly it.",f
4061367,2070,"You always talk about ""back in your day.""",n
4063600,1956,"Well, today is your day.",n
4067320,2878,"You can do it, you old sausage.",n
4073120,3117,"Wing Commander T.l.Fowler, reporting for duty.",n
4079080,4312,What're you waiting for? Let's get this crate off the ground!,n
4085167,1399,"Fowler, now!",n
4086967,1911,Roger! Contact!,n
4100920,1592,Cleared for takeoff!,n
4109240,1353,Chocks away!,n
4120400,1035,Full throttle!,n
4144480,1638,We need more power!,n
4146407,1399,l can't work miracles.,n
4148473,2036,We're givin' her all she's got!,n
4159240,910,Gotcha!,n
4160207,1274,Hard right!,n
4163392,1558,"Oh, mother.",s
4170920,2070,Turn her around. l'll get the ramp.,n
4186127,2434,Put the ramp down!,n
4191920,2468,You are going to be a pie.,a
4226287,1911,Look out!,n
4228607,1194,Clear the runway!,n
4250527,1069,Let's go!,n
4255527,2150,We're flying!,j
4271400,1149,That's for leaving.,n
4274517,2275,And this is for coming back.,n
4281567,1672,Great Scott! What was that?,s
4283647,1274,A cling-on!,n
4285327,2309,The engines can't take it!,f
4291167,1353,My goodness!,f
4292927,1399,Babs! Scissors!,n
4298799,2753,Lower me down. - But ... - Just do it.,n
4301877,1592,lncrease velocity!,n
4303527,3595,What's that mean? - Pedal your flippin' giblets out!,s
4320080,2036,Lower! - l'm trying!,n
4328640,1399,Look out!,n
4350000,1752,Fire! Fire!,n
4353847,1149,My eggs!,c
4365400,1194,More ammo! Hurry!,f
4366767,1831,We got no more eggs!,n
4368640,1194,Look out!,f
4378167,1274,No!,c
4396950,1228,Bombs away!,n
4398287,1399,Mr. Tweedy!,n
4401840,1956,That was good! That was good!,j
4406072,2434,The old bird bought it!,j
4442920,3595,l told you they was organized.,n
4456720,2514,"We did it, everyone!",j
4480647,3037,Keep pedaling. We're not there yet.,n
4487647,3072,You can't see paradise if you don't pedal.,n
4493167,1991,Put your drumsticks into it.,n
4499280,5154,"That's what l told them. We were losing altitude, heading for ...",n
4505167,3959,A lovely holiday. l'll be sad to go back.,n
4509914,2434,Safety at all times is imperative.,n
4512367,3276,Wind her up and let her go.,n
4516207,989,So ...,n
4518127,2514,ls it as good as you imagined? - No.,n
4522356,1718,lt's better.,j
4525920,1956,l'll show you how to play cricket.,j
4532807,1672,Here's a thought.,n
4534847,2673,Let's get an egg and start our own chicken farm.,n
4537927,3276,We'll have all the eggs we can eat. - Right.,n
4541607,3197,"We'll need a chicken then. - No, an egg first.",n
4545207,2355,That's where the chicken comes from.,n
4547997,2798,No. Without the chicken where do you get the egg?,n
4551167,2434,From a chicken ... that comes from the egg.,n
4554007,1752,But you need an egg to have a chicken.,n
4556167,3549,You got to get the chicken first to get the egg.,n
4560127,1672,Then you get the chicken.,n
4562407,1956,Hang on. Let's go over this again.,n
4765080,1194,"The egg, obviously.",n
4766687,3754,"Rolling along happily, then crack! lt hatches the first chicken.",n
4770847,1991,But where'd the egg come from?,n
4773793,5028,"What do you mean? - Egg comes rolling along happily and wonders,",n
4779047,4994,where'd it come from without a chicken? No eggs come rolling along.,n
4784647,4994,Without an egg to hatch the chicken there'll be no chicken,n
4790240,4994,"to lay the first egg. - Have we got 2 eggs now? - No, still the first egg.",n
4795847,2992,What about the first chicken? - lt's in the very first egg.,n
4799247,1592,Guys!,n
4802077,2070,l'm trying to enjoy paradise.,n
4804527,3197,"Sorry, guv. - Won't happen again.",n
4808598,1035,Thanks.,n
4809887,1638,Gitface. - Pillock.,n
4812189,3037,"Thinks he's such a big shot, 'cause his name's on a poster.",n
4815567,2673,They're all the same. - The rats are the stars.,n
4818847,3913,"Yes, we do all the hard work, and he gets all the credit.",n
4823167,4039,"He gets everything. - Everything. - You said it, mate! - l know.",d
4830607,1672,Subtitles John R. Middleton,m
4832687,1831,Film und Video Untertitelung GmbH Gerhard Lehmann,n
